Fecha,Equipo1,Score,Equipo2,Resultado,Goles_equipo1,Goles_equipo2,Diferencia_goles
2008-02-10,Racing,0 - 2,Atlético,Ganó,0,2,2
2008-02-03,Atlético,1 - 1,Real Murcia,Empató,1,1,0
2008-01-27,Mallorca,1 - 0,Atlético,Perdió,1,0,1
2008-01-20,Atlético,0 - 2,Real Madrid,Perdió,0,2,2
2008-01-13,Atlético,1 - 0,Valencia,Ganó,1,0,1
2008-01-06,RC Deportivo,0 - 3,Atlético,Ganó,0,3,3
2007-12-23,Atlético,1 - 2,Espanyol,Perdió,1,2,1
2007-12-16,Recreativo,0 - 0,Atlético,Empató,0,0,0
2007-12-09,Atlético,1 - 0,Getafe,Ganó,1,0,1
2007-12-02,Real Betis,0 - 2,Atlético,Ganó,0,2,2
2007-11-25,Atlético,4 - 3,Real Valladolid,Ganó,4,3,1
2007-11-11,Almería,0 - 0,Atlético,Empató,0,0,0
2007-11-04,Atlético,3 - 4,Villarreal,Perdió,3,4,1
2007-10-31,Atlético,4 - 3,Sevilla,Ganó,4,3,1
2007-10-28,Levante,0 - 1,Atlético,Ganó,0,1,1
2007-10-21,Atlético,4 - 0,Real Zaragoza,Ganó,4,0,4
2007-10-07,Barcelona,3 - 0,Atlético,Perdió,3,0,3
2007-09-30,Atlético,2 - 0,Osasuna,Ganó,2,0,2
2007-09-26,Athletic,0 - 2,Atlético,Ganó,0,2,2
2007-09-23,Atlético,4 - 0,Racing,Ganó,4,0,4
2007-09-16,Real Murcia,1 - 1,Atlético,Empató,1,1,0
2007-09-02,Atlético,1 - 1,Mallorca,Empató,1,1,0
2007-08-25,Real Madrid,2 - 1,Atlético,Perdió,2,1,1
2007-06-17,Osasuna,1 - 2,Atlético,Ganó,1,2,1
2007-06-09,Atlético,2 - 3,Celta,Perdió,2,3,1
2007-05-27,Gimnàstic,0 - 2,Atlético,Ganó,0,2,2
2007-05-20,Atlético,0 - 6,Barcelona,Perdió,0,6,6
2007-05-13,Getafe,1 - 4,Atlético,Ganó,1,4,3
2007-05-06,Espanyol,2 - 1,Atlético,Perdió,2,1,1
2007-04-28,Atlético,0 - 0,Real Betis,Empató,0,0,0
2007-04-21,R. Sociedad,2 - 0,Atlético,Perdió,2,0,2
2007-04-15,Atlético,1 - 0,Levante,Ganó,1,0,1
2007-04-08,Villarreal,0 - 1,Atlético,Ganó,0,1,1
2007-04-01,Atlético,1 - 1,Mallorca,Empató,1,1,0
2007-03-18,Real Zaragoza,1 - 0,Atlético,Perdió,1,0,1
2007-03-11,Atlético,2 - 0,RC Deportivo,Ganó,2,0,2
2007-03-04,Recreativo,1 - 0,Atlético,Perdió,1,0,1
2007-02-24,Atlético,1 - 1,Real Madrid,Empató,1,1,0
2007-02-18,Sevilla,3 - 1,Atlético,Perdió,3,1,2
2007-02-11,Atlético,1 - 0,Athletic,Ganó,1,0,1
2007-02-03,Valencia,3 - 1,Atlético,Perdió,3,1,2
2007-01-27,Atlético,1 - 1,Racing,Empató,1,1,0
2007-01-20,Atlético,1 - 0,Osasuna,Ganó,1,0,1
2007-01-14,Celta,1 - 3,Atlético,Ganó,1,3,2
2007-01-06,Atlético,0 - 0,Gimnàstic,Empató,0,0,0
2006-12-21,Barcelona,1 - 1,Atlético,Empató,1,1,0
2006-12-17,Atlético,1 - 0,Getafe,Ganó,1,0,1
2006-12-10,Atlético,1 - 2,Espanyol,Perdió,1,2,1
